TEMPORADA;ESPECIE;Provincia;capturas
2020-2021;PALOMA BRAVÍA;ZAMORA;6146
2020-2021;PALOMA TORCAZ;AVILA;16257
2020-2021;PALOMA TORCAZ;PALENCIA;10055
2020-2021;TORTOLA;AVILA;3462
2020-2021;TORTOLA;LEON;1390
2020-2021;TORTOLA;PALENCIA;2648
2020-2021;TORTOLA;SEGOVIA;4236
2020-2021;TORTOLA;VALLADOLID;4547
2020-2021;CODORNIZ;BURGOS;175121
2020-2021;CODORNIZ;PALENCIA;87421
2020-2021;CODORNIZ;SALAMANCA;9375
2020-2021;CODORNIZ;SEGOVIA;20323
2020-2021;BECADA;LEON;3217
2020-2021;BECADA;PALENCIA;2854
2020-2021;BECADA;SALAMANCA;3572
2020-2021;BECADA;VALLADOLID;786
2020-2021;BECADA;ZAMORA;2069
2020-2021;CÓRVIDOS;AVILA;1419
2020-2021;CÓRVIDOS;BURGOS;2894
2020-2021;CÓRVIDOS;LEON;4084
2020-2021;CÓRVIDOS;PALENCIA;2823
2020-2021;CÓRVIDOS;SORIA;1242
2020-2021;ÁNADE REAL O AZULÓN;BURGOS;798
2020-2021;ÁNADE REAL O AZULÓN;VALLADOLID;941
2020-2021;OTRAS AVES ACUÁTICAS;BURGOS;72
2020-2021;OTRAS AVES ACUÁTICAS;LEON;252
2020-2021;OTRAS AVES ACUÁTICAS;PALENCIA;15
2020-2021;OTRAS AVES ACUÁTICAS;SORIA;0
2020-2021;ZORZALES;SALAMANCA;4915
2020-2021;ZORZALES;VALLADOLID;4580
2020-2021;ZORZALES;ZAMORA;3223
2020-2021;FAISÁN;AVILA;574
2020-2021;FAISÁN;SEGOVIA;0
2020-2021;FAISÁN;VALLADOLID;0
2020-2021;JABALÍ;BURGOS;7606
2020-2021;JABALÍ;LEON;9280
2020-2021;JABALÍ;PALENCIA;1644
2020-2021;JABALÍ;VALLADOLID;2236
2020-2021;LOBO;AVILA;0
2020-2021;LOBO;BURGOS;0
2020-2021;LOBO;LEON;25
2020-2021;LOBO;PALENCIA;10
2020-2021;LOBO;SALAMANCA;0
2020-2021;LOBO;SORIA;0
2020-2021;CORZO;LEON;2427
2020-2021;CORZO;SALAMANCA;681
2020-2021;CORZO;SEGOVIA;2039
2020-2021;CORZO;VALLADOLID;587
2020-2021;CIERVO;AVILA;1082
2020-2021;CIERVO;BURGOS;1166
2020-2021;CIERVO;PALENCIA;832
2020-2021;CIERVO;ZAMORA;1540
2020-2021;REBECO;AVILA;0
2020-2021;REBECO;SALAMANCA;0
2020-2021;REBECO;ZAMORA;0
2020-2021;CABRA MONTES;AVILA;172
2020-2021;CABRA MONTES;PALENCIA;0
2020-2021;CABRA MONTES;SALAMANCA;18
2020-2021;CABRA MONTES;SEGOVIA;22
2020-2021;CABRA MONTES;VALLADOLID;0
2020-2021;MUFLÓN;AVILA;241
2020-2021;MUFLÓN;PALENCIA;0
2020-2021;MUFLÓN;ZAMORA;0
2020-2021;GAMO;AVILA;323
2020-2021;GAMO;LEON;116
2020-2021;GAMO;PALENCIA;80
2020-2021;GAMO;SALAMANCA;224
2020-2021;GAMO;VALLADOLID;79
2020-2021;CONEJO;LEON;35248
2020-2021;CONEJO;SORIA;7832
2020-2021;LIEBRE;LEON;9742
2020-2021;LIEBRE;PALENCIA;2759
2020-2021;LIEBRE;SEGOVIA;4491
2020-2021;LIEBRE;SORIA;12390
2020-2021;LIEBRE;ZAMORA;8497
2020-2021;ZORRO;SEGOVIA;2316
2020-2021;ZORRO;VALLADOLID;1676
2020-2021;ZORRO;ZAMORA;3546
2020-2021;PERDIZ ROJA;SALAMANCA;10928
2020-2021;PERDIZ ROJA;VALLADOLID;16651
2020-2021;PALOMA ZURITA;AVILA;1561
2020-2021;PALOMA ZURITA;BURGOS;1187
2020-2021;PALOMA ZURITA;SEGOVIA;937
2020-2021;PALOMA ZURITA;SORIA;301
2020-2021;PALOMA ZURITA;VALLADOLID;3599
2020-2021;PALOMA BRAVÍA;BURGOS;1508
2020-2021;PALOMA BRAVÍA;PALENCIA;8353
2020-2021;PALOMA BRAVÍA;SEGOVIA;7936
2020-2021;PALOMA BRAVÍA;SORIA;249
2020-2021;PALOMA TORCAZ;BURGOS;17176
2020-2021;PALOMA TORCAZ;SALAMANCA;35653
2020-2021;PALOMA TORCAZ;SEGOVIA;10559
2020-2021;PALOMA TORCAZ;SORIA;6203
2020-2021;PALOMA TORCAZ;ZAMORA;13436
2020-2021;TORTOLA;SORIA;4749
2020-2021;TORTOLA;ZAMORA;6540
2020-2021;CODORNIZ;AVILA;10022
2020-2021;CODORNIZ;LEON;112249
2020-2021;BECADA;AVILA;1160
2020-2021;BECADA;BURGOS;7482
2020-2021;BECADA;SEGOVIA;1208
2020-2021;BECADA;SORIA;5692
2020-2021;ÁNADE REAL O AZULÓN;AVILA;820
2020-2021;ÁNADE REAL O AZULÓN;LEON;2215
2020-2021;ÁNADE REAL O AZULÓN;PALENCIA;735
2020-2021;OTRAS AVES ACUÁTICAS;AVILA;93
2020-2021;OTRAS AVES ACUÁTICAS;SEGOVIA;20
2020-2021;OTRAS AVES ACUÁTICAS;VALLADOLID;32
2020-2021;ZORZALES;BURGOS;12807
2020-2021;ZORZALES;LEON;1669
2020-2021;ZORZALES;SORIA;14542
2020-2021;FAISÁN;BURGOS;448
2020-2021;FAISÁN;PALENCIA;0
2020-2021;FAISÁN;SALAMANCA;828
2021-2022;JABALÍ;LEON;9062
2021-2022;JABALÍ;ZAMORA;9064
2021-2022;LOBO;LEON;0
2021-2022;LOBO;PALENCIA;0
2021-2022;LOBO;SEGOVIA;0
2021-2022;CORZO;PALENCIA;1488
2021-2022;CORZO;SORIA;7197
2021-2022;CIERVO;SALAMANCA;801
2021-2022;CIERVO;SEGOVIA;351
2021-2022;REBECO;SALAMANCA;0
2021-2022;MUFLÓN;SEGOVIA;17
2021-2022;MUFLÓN;SORIA;0
2021-2022;GAMO;AVILA;445
2021-2022;GAMO;BURGOS;380
2021-2022;GAMO;PALENCIA;140
2021-2022;GAMO;SORIA;30
2021-2022;GAMO;VALLADOLID;68
2021-2022;CONEJO;AVILA;23091
2021-2022;CONEJO;LEON;29141
2021-2022;CONEJO;PALENCIA;48451
2021-2022;CONEJO;SORIA;5726
2021-2022;CONEJO;VALLADOLID;103644
2021-2022;LIEBRE;AVILA;3505
2021-2022;LIEBRE;PALENCIA;2201
2021-2022;LIEBRE;SEGOVIA;4294
2021-2022;LIEBRE;VALLADOLID;3604
2021-2022;LIEBRE;ZAMORA;8552
2021-2022;ZORRO;AVILA;3453
2021-2022;ZORRO;BURGOS;2727
2021-2022;ZORRO;LEON;2920
2021-2022;ZORRO;PALENCIA;1215
2021-2022;ZORRO;SALAMANCA;10191
2021-2022;PERDIZ ROJA;AVILA;22548
2021-2022;PERDIZ ROJA;BURGOS;61985
2021-2022;PERDIZ ROJA;SEGOVIA;11335
2021-2022;PERDIZ ROJA;VALLADOLID;12525
2021-2022;PALOMA ZURITA;SORIA;198
2021-2022;PALOMA ZURITA;VALLADOLID;1679
2021-2022;PALOMA ZURITA;ZAMORA;332
2021-2022;PALOMA BRAVÍA;AVILA;4960
2021-2022;PALOMA BRAVÍA;LEON;3713
2021-2022;PALOMA BRAVÍA;PALENCIA;7278
2021-2022;PALOMA BRAVÍA;SALAMANCA;7958
2021-2022;PALOMA BRAVÍA;ZAMORA;6683
2021-2022;PALOMA TORCAZ;BURGOS;16026
2021-2022;PALOMA TORCAZ;SEGOVIA;9704
2021-2022;PALOMA TORCAZ;SORIA;6636
2021-2022;PALOMA TORCAZ;VALLADOLID;22596
2021-2022;PALOMA TORCAZ;ZAMORA;12778
2021-2022;TORTOLA;PALENCIA;0
2021-2022;TORTOLA;SEGOVIA;0
2021-2022;TORTOLA;VALLADOLID;0
2021-2022;CODORNIZ;AVILA;10122
2021-2022;CODORNIZ;LEON;83843
2021-2022;BECADA;AVILA;1254
2021-2022;BECADA;LEON;2707
2021-2022;BECADA;ZAMORA;2240
2021-2022;CÓRVIDOS;BURGOS;5886
2021-2022;CÓRVIDOS;SORIA;677
2021-2022;CÓRVIDOS;ZAMORA;1979
2021-2022;ÁNADE REAL O AZULÓN;BURGOS;754
2021-2022;ÁNADE REAL O AZULÓN;LEON;1853
2021-2022;ÁNADE REAL O AZULÓN;SALAMANCA;2442
2021-2022;OTRAS AVES ACUÁTICAS;AVILA;170
2021-2022;OTRAS AVES ACUÁTICAS;BURGOS;45
2021-2022;OTRAS AVES ACUÁTICAS;SEGOVIA;117
2021-2022;ZORZALES;AVILA;15762
2021-2022;ZORZALES;LEON;1342
2021-2022;ZORZALES;SORIA;17631
2021-2022;FAISÁN;AVILA;2884
2021-2022;FAISÁN;BURGOS;610
2021-2022;FAISÁN;LEON;0
2021-2022;JABALÍ;AVILA;6969
2021-2022;JABALÍ;SALAMANCA;8466
2021-2022;LOBO;BURGOS;0
2021-2022;LOBO;SALAMANCA;0
2021-2022;LOBO;ZAMORA;0
2021-2022;CORZO;BURGOS;8672
2021-2022;CORZO;SEGOVIA;2255
2021-2022;CORZO;ZAMORA;1538
2021-2022;CIERVO;AVILA;1234
2021-2022;CIERVO;BURGOS;1338
2021-2022;CIERVO;PALENCIA;881
2021-2022;CIERVO;VALLADOLID;195
2021-2022;CIERVO;ZAMORA;1630
2021-2022;REBECO;LEON;506
2021-2022;REBECO;PALENCIA;31
2021-2022;REBECO;SORIA;0
2021-2022;CABRA MONTES;LEON;24
2021-2022;CABRA MONTES;PALENCIA;0
2021-2022;CABRA MONTES;SALAMANCA;18
2021-2022;CABRA MONTES;SEGOVIA;16
2021-2022;CABRA MONTES;SORIA;0
2021-2022;CABRA MONTES;VALLADOLID;0
2021-2022;CABRA MONTES;ZAMORA;7
2021-2022;MUFLÓN;AVILA;167
2021-2022;MUFLÓN;SALAMANCA;159
2021-2022;MUFLÓN;ZAMORA;0
2021-2022;GAMO;LEON;22
2021-2022;GAMO;SALAMANCA;444
2021-2022;GAMO;SEGOVIA;169
2021-2022;CONEJO;BURGOS;61972
2021-2022;CONEJO;SEGOVIA;29460
2021-2022;LIEBRE;LEON;7688
2021-2022;ZORRO;SORIA;1621
2021-2022;ZORRO;VALLADOLID;1193
2021-2022;ZORRO;ZAMORA;2987
2021-2022;PERDIZ ROJA;LEON;15635
2021-2022;PERDIZ ROJA;PALENCIA;17864
2021-2022;PERDIZ ROJA;SALAMANCA;45578
2021-2022;PERDIZ ROJA;ZAMORA;24180
2021-2022;PALOMA ZURITA;BURGOS;843
2021-2022;PALOMA ZURITA;LEON;129
2021-2022;PALOMA ZURITA;SEGOVIA;943
2021-2022;PALOMA BRAVÍA;BURGOS;2564
2021-2022;PALOMA BRAVÍA;SEGOVIA;6514
2021-2022;PALOMA BRAVÍA;SORIA;487
2021-2022;PALOMA TORCAZ;AVILA;19817
2021-2022;TORTOLA;BURGOS;0
2021-2022;TORTOLA;LEON;0
2021-2022;TORTOLA;SALAMANCA;0
2021-2022;TORTOLA;SORIA;0
2021-2022;TORTOLA;ZAMORA;0
2021-2022;CODORNIZ;SORIA;79093
2021-2022;CODORNIZ;ZAMORA;22191
2021-2022;BECADA;PALENCIA;3782
2021-2022;BECADA;SEGOVIA;1069
2021-2022;BECADA;VALLADOLID;817
2021-2022;CÓRVIDOS;SALAMANCA;1285
2021-2022;CÓRVIDOS;VALLADOLID;3419
2021-2022;ÁNADE REAL O AZULÓN;AVILA;951
2021-2022;ÁNADE REAL O AZULÓN;SORIA;133
2021-2022;ÁNADE REAL O AZULÓN;VALLADOLID;822
2021-2022;ÁNADE REAL O AZULÓN;ZAMORA;1287
2021-2022;OTRAS AVES ACUÁTICAS;ZAMORA;131
2021-2022;ZORZALES;PALENCIA;946
2021-2022;ZORZALES;SALAMANCA;4933
2021-2022;ZORZALES;SEGOVIA;5382
2021-2022;FAISÁN;SEGOVIA;925
2021-2022;FAISÁN;ZAMORA;0
2021-2022;JABALÍ;BURGOS;9556
2021-2022;JABALÍ;PALENCIA;2214
2021-2022;JABALÍ;SEGOVIA;4085
2021-2022;JABALÍ;SORIA;5207
2021-2022;JABALÍ;VALLADOLID;1626
2021-2022;LOBO;AVILA;0
2021-2022;LOBO;SORIA;0
2021-2022;LOBO;VALLADOLID;0
2021-2022;CORZO;AVILA;748
2021-2022;CORZO;LEON;2681
2021-2022;CORZO;SALAMANCA;828
2021-2022;CORZO;VALLADOLID;766
2021-2022;CIERVO;LEON;767
2021-2022;CIERVO;SORIA;4745
2021-2022;REBECO;AVILA;0
2021-2022;REBECO;BURGOS;0
2021-2022;REBECO;SEGOVIA;0
2021-2022;REBECO;VALLADOLID;0
2021-2022;REBECO;ZAMORA;0
2021-2022;CABRA MONTES;AVILA;433
2021-2022;CABRA MONTES;BURGOS;11
2021-2022;MUFLÓN;BURGOS;1
2021-2022;MUFLÓN;LEON;12
2021-2022;MUFLÓN;PALENCIA;0
2021-2022;MUFLÓN;VALLADOLID;121
2021-2022;GAMO;ZAMORA;20
2021-2022;CONEJO;SALAMANCA;15547
2021-2022;CONEJO;ZAMORA;66284
2021-2022;LIEBRE;BURGOS;5542
2021-2022;LIEBRE;SALAMANCA;10739
2021-2022;LIEBRE;SORIA;7625
2021-2022;ZORRO;SEGOVIA;2364
2021-2022;PERDIZ ROJA;SORIA;16754
2021-2022;PALOMA ZURITA;AVILA;1138
2021-2022;PALOMA ZURITA;PALENCIA;906
2021-2022;PALOMA ZURITA;SALAMANCA;852
2021-2022;PALOMA BRAVÍA;VALLADOLID;18981
2021-2022;PALOMA TORCAZ;LEON;6895
2021-2022;PALOMA TORCAZ;PALENCIA;8864
2021-2022;PALOMA TORCAZ;SALAMANCA;27519
2021-2022;TORTOLA;AVILA;0
2021-2022;CODORNIZ;BURGOS;183142
2021-2022;CODORNIZ;PALENCIA;89477
2021-2022;CODORNIZ;SALAMANCA;11822
2021-2022;CODORNIZ;SEGOVIA;17196
2021-2022;CODORNIZ;VALLADOLID;16503
2021-2022;BECADA;BURGOS;15205
2021-2022;BECADA;SALAMANCA;2245
2021-2022;BECADA;SORIA;4320
2021-2022;CÓRVIDOS;AVILA;1501
2021-2022;CÓRVIDOS;LEON;3473
2021-2022;CÓRVIDOS;PALENCIA;2498
2021-2022;CÓRVIDOS;SEGOVIA;2702
2021-2022;ÁNADE REAL O AZULÓN;PALENCIA;502
2021-2022;ÁNADE REAL O AZULÓN;SEGOVIA;981
2021-2022;OTRAS AVES ACUÁTICAS;LEON;175
2021-2022;OTRAS AVES ACUÁTICAS;PALENCIA;41
2021-2022;OTRAS AVES ACUÁTICAS;SALAMANCA;116
2021-2022;OTRAS AVES ACUÁTICAS;SORIA;1
2021-2022;OTRAS AVES ACUÁTICAS;VALLADOLID;9
2021-2022;ZORZALES;BURGOS;13070
2021-2022;ZORZALES;VALLADOLID;3639
2021-2022;ZORZALES;ZAMORA;2597
2021-2022;FAISÁN;PALENCIA;181
2021-2022;FAISÁN;SALAMANCA;1150
2021-2022;FAISÁN;SORIA;0
2021-2022;FAISÁN;VALLADOLID;0
2022-2023;JABALÍ;BURGOS;9206
2022-2023;JABALÍ;LEON;9208
2022-2023;JABALÍ;SALAMANCA;8652
2022-2023;JABALÍ;VALLADOLID;936
2022-2023;CORZO;LEON;3015
2022-2023;CIERVO;VALLADOLID;249
2022-2023;REBECO;BURGOS;0
2022-2023;REBECO;PALENCIA;31
2022-2023;REBECO;SALAMANCA;0
2022-2023;REBECO;SEGOVIA;0
2022-2023;REBECO;SORIA;0
2022-2023;REBECO;ZAMORA;0
2022-2023;CABRA MONTES;SORIA;0
2022-2023;CABRA MONTES;VALLADOLID;0
2022-2023;CABRA MONTES;ZAMORA;8
2022-2023;MUFLÓN;BURGOS;4
2022-2023;MUFLÓN;SEGOVIA;0
2022-2023;MUFLÓN;SORIA;0
2022-2023;GAMO;BURGOS;428
2022-2023;GAMO;PALENCIA;160
2022-2023;GAMO;SORIA;57
2022-2023;CONEJO;BURGOS;37816
2022-2023;CONEJO;SALAMANCA;12664
2022-2023;CONEJO;SEGOVIA;26239
2022-2023;LIEBRE;AVILA;3226
2022-2023;LIEBRE;BURGOS;3286
2022-2023;LIEBRE;VALLADOLID;2132
2022-2023;LIEBRE;ZAMORA;6655
2022-2023;ZORRO;AVILA;3359
2022-2023;ZORRO;BURGOS;2644
2022-2023;PERDIZ ROJA;AVILA;21739
2022-2023;PERDIZ ROJA;SEGOVIA;18800
2022-2023;PERDIZ ROJA;SORIA;11237
2022-2023;PERDIZ ROJA;ZAMORA;11306
2022-2023;PALOMA ZURITA;BURGOS;390
2022-2023;PALOMA ZURITA;SEGOVIA;2567
2022-2023;PALOMA BRAVÍA;PALENCIA;5676
2022-2023;PALOMA BRAVÍA;SALAMANCA;6566
2022-2023;PALOMA BRAVÍA;SEGOVIA;7069
2022-2023;PALOMA BRAVÍA;VALLADOLID;18019
2022-2023;PALOMA BRAVÍA;ZAMORA;8151
2022-2023;PALOMA TORCAZ;AVILA;18224
2022-2023;PALOMA TORCAZ;BURGOS;20228
2022-2023;CODORNIZ;LEON;40843
2022-2023;CODORNIZ;PALENCIA;58592
2022-2023;BECADA;AVILA;1267
2022-2023;BECADA;LEON;2829
2022-2023;BECADA;SORIA;4776
2022-2023;BECADA;ZAMORA;1882
2022-2023;CÓRVIDOS;BURGOS;2742
2022-2023;CÓRVIDOS;SALAMANCA;1044
2022-2023;CÓRVIDOS;SORIA;956
2022-2023;ÁNADE AZULÓN;AVILA;770
2022-2023;ÁNADE AZULÓN;ZAMORA;2132
2022-2023;OTRAS AVES ACUÁTICAS;AVILA;63
2022-2023;OTRAS AVES ACUÁTICAS;BURGOS;30
2022-2023;OTRAS AVES ACUÁTICAS;PALENCIA;44
2022-2023;ZORZALES;AVILA;15199
2022-2023;FAISÁN;SALAMANCA;0
2022-2023;FAISÁN;SEGOVIA;2697
2022-2023;FAISÁN;VALLADOLID;50
2022-2023;JABALÍ;AVILA;7098
2022-2023;JABALÍ;PALENCIA;1989
2022-2023;JABALÍ;ZAMORA;7966
2022-2023;CORZO;BURGOS;8983
2022-2023;CORZO;PALENCIA;1614
2022-2023;CORZO;VALLADOLID;812
2022-2023;CORZO;ZAMORA;1692
2022-2023;CIERVO;AVILA;1284
2022-2023;CIERVO;SEGOVIA;375
2022-2023;CIERVO;ZAMORA;1935
2022-2023;REBECO;AVILA;0
2022-2023;REBECO;LEON;453
2022-2023;REBECO;VALLADOLID;0
2022-2023;CABRA MONTES;AVILA;408
2022-2023;CABRA MONTES;BURGOS;11
2022-2023;MUFLÓN;ZAMORA;0
2022-2023;GAMO;SALAMANCA;290
2022-2023;GAMO;ZAMORA;17
2022-2023;CONEJO;AVILA;24148
2022-2023;CONEJO;LEON;20300
2022-2023;CONEJO;PALENCIA;33082
2022-2023;LIEBRE;LEON;5777
2022-2023;LIEBRE;PALENCIA;1460
2022-2023;LIEBRE;SALAMANCA;9759
2022-2023;LIEBRE;SEGOVIA;2959
2022-2023;ZORRO;SALAMANCA;8367
2022-2023;ZORRO;ZAMORA;2844
2022-2023;PERDIZ ROJA;BURGOS;41278
2022-2023;PERDIZ ROJA;VALLADOLID;4446
2022-2023;PALOMA ZURITA;AVILA;795
2022-2023;PALOMA ZURITA;LEON;134
2022-2023;PALOMA ZURITA;VALLADOLID;1772
2022-2023;PALOMA ZURITA;ZAMORA;368
2022-2023;PALOMA BRAVÍA;BURGOS;3326
2022-2023;PALOMA TORCAZ;LEON;6200
2022-2023;PALOMA TORCAZ;PALENCIA;10209
2022-2023;PALOMA TORCAZ;SEGOVIA;9748
2022-2023;PALOMA TORCAZ;ZAMORA;10606
2022-2023;CODORNIZ;SALAMANCA;7932
2022-2023;CODORNIZ;VALLADOLID;10106
2022-2023;BECADA;BURGOS;12682
2022-2023;BECADA;PALENCIA;4224
2022-2023;BECADA;SALAMANCA;2161
2022-2023;CÓRVIDOS;AVILA;1346
2022-2023;CÓRVIDOS;PALENCIA;2361
2022-2023;CÓRVIDOS;SEGOVIA;2497
2022-2023;ÁNADE AZULÓN;LEON;984
2022-2023;ÁNADE AZULÓN;VALLADOLID;751
2022-2023;OTRAS AVES ACUÁTICAS;LEON;65
2022-2023;OTRAS AVES ACUÁTICAS;SALAMANCA;73
2022-2023;OTRAS AVES ACUÁTICAS;SEGOVIA;18
2022-2023;OTRAS AVES ACUÁTICAS;ZAMORA;342
2022-2023;ZORZALES;BURGOS;25914
2022-2023;ZORZALES;LEON;633
2022-2023;ZORZALES;PALENCIA;1849
2022-2023;ZORZALES;VALLADOLID;5926
2022-2023;FAISÁN;AVILA;2000
2022-2023;FAISÁN;LEON;0
2022-2023;FAISÁN;ZAMORA;0
2022-2023;JABALÍ;SEGOVIA;4040
2022-2023;JABALÍ;SORIA;5269
2022-2023;CORZO;AVILA;894
2022-2023;CORZO;SALAMANCA;963
2022-2023;CORZO;SEGOVIA;2432
2022-2023;CORZO;SORIA;8025
2022-2023;CIERVO;BURGOS;1386
2022-2023;CIERVO;LEON;957
2022-2023;CIERVO;PALENCIA;938
2022-2023;CIERVO;SALAMANCA;899
2022-2023;CIERVO;SORIA;5143
2022-2023;CABRA MONTES;LEON;33
2022-2023;CABRA MONTES;PALENCIA;0
2022-2023;CABRA MONTES;SALAMANCA;73
2022-2023;CABRA MONTES;SEGOVIA;26
2022-2023;MUFLÓN;AVILA;304
2022-2023;MUFLÓN;LEON;39
2022-2023;MUFLÓN;PALENCIA;0
2022-2023;MUFLÓN;SALAMANCA;138
2022-2023;MUFLÓN;VALLADOLID;139
2022-2023;GAMO;AVILA;351
2022-2023;GAMO;LEON;24
2022-2023;GAMO;SEGOVIA;243
2022-2023;GAMO;VALLADOLID;110
2022-2023;CONEJO;SORIA;4736
2022-2023;CONEJO;VALLADOLID;82572
2022-2023;CONEJO;ZAMORA;55244
2022-2023;LIEBRE;SORIA;6082
2022-2023;ZORRO;LEON;2665
2022-2023;ZORRO;PALENCIA;1250
2022-2023;ZORRO;SEGOVIA;1997
2022-2023;ZORRO;SORIA;2089
2022-2023;ZORRO;VALLADOLID;1630
2022-2023;PERDIZ ROJA;LEON;11494
2022-2023;PERDIZ ROJA;PALENCIA;8394
2022-2023;PERDIZ ROJA;SALAMANCA;50008
2022-2023;PALOMA ZURITA;PALENCIA;579
2022-2023;PALOMA ZURITA;SALAMANCA;492
2022-2023;PALOMA ZURITA;SORIA;187
2022-2023;PALOMA BRAVÍA;AVILA;4592
2022-2023;PALOMA BRAVÍA;LEON;6031
2022-2023;PALOMA BRAVÍA;SORIA;299
2022-2023;PALOMA TORCAZ;SALAMANCA;28534
2022-2023;PALOMA TORCAZ;SORIA;7501
2022-2023;PALOMA TORCAZ;VALLADOLID;20998
2022-2023;CODORNIZ;AVILA;7730
2022-2023;CODORNIZ;BURGOS;117067
2022-2023;CODORNIZ;SEGOVIA;9366
2022-2023;CODORNIZ;SORIA;46485
2022-2023;CODORNIZ;ZAMORA;19804
2022-2023;BECADA;SEGOVIA;1054
2022-2023;BECADA;VALLADOLID;659
2022-2023;CÓRVIDOS;LEON;2890
2022-2023;CÓRVIDOS;VALLADOLID;3162
2022-2023;CÓRVIDOS;ZAMORA;1751
2022-2023;ÁNADE AZULÓN;BURGOS;631
2022-2023;ÁNADE AZULÓN;PALENCIA;462
2022-2023;ÁNADE AZULÓN;SALAMANCA;2212
2022-2023;ÁNADE AZULÓN;SEGOVIA;8044
2022-2023;ÁNADE AZULÓN;SORIA;116
2022-2023;OTRAS AVES ACUÁTICAS;SORIA;0
2022-2023;OTRAS AVES ACUÁTICAS;VALLADOLID;9
2022-2023;ZORZALES;SALAMANCA;4597
2022-2023;ZORZALES;SEGOVIA;7442
2022-2023;ZORZALES;SORIA;40417
2022-2023;ZORZALES;ZAMORA;2798
2022-2023;FAISÁN;BURGOS;475
2022-2023;FAISÁN;PALENCIA;89
2022-2023;FAISÁN;SORIA;0
